model,split,row_type,group,n_groups,sinkhorn_de,centered_sinkhorn_de,variance_log_mae_de
DiffCRISP,split,group,T regulatory cells_GSK1070916,1,1.9503273963928223,1.1094791889190674,0.030897438526153564
DiffCRISP,split,group,T regulatory cells_GSK256066,1,0.9919750690460205,0.42756330966949463,0.01674053631722927
DiffCRISP,split,group,T regulatory cells_GW843682X,1,0.6957452297210693,0.21975737810134888,0.008744626305997372
DiffCRISP,split,group,T regulatory cells_HMN214,1,1.5266015529632568,0.8847187161445618,0.03572525456547737
DiffCRISP,split,group,T regulatory cells_HYDROXYUREA,1,0.9096611142158508,0.5138558149337769,0.017587129026651382
DiffCRISP,split,group,T regulatory cells_IBET151,1,6.7958245277404785,2.704989433288574,0.0817965567111969
DiffCRISP,split,group,T regulatory cells_IKKInhibitorVII,1,7.8802900314331055,3.3234825134277344,0.11310220509767532
DiffCRISP,split,group,T regulatory cells_IMD0354,1,3.5294384956359863,1.340566873550415,0.04922955110669136
DiffCRISP,split,group,T regulatory cells_IN1451,1,99.66001892089844,86.18453216552734,1.0255402326583862
DiffCRISP,split,group,T regulatory cells_Idelalisib,1,3.241403579711914,0.8399789333343506,0.03243117406964302
DiffCRISP,split,group,T regulatory cells_Imatinib,1,3.2204813957214355,0.9863412976264954,0.037016406655311584
DiffCRISP,split,group,T regulatory cells_Isoniazid,1,0.9576687812805176,0.3172239661216736,0.012108087539672852
DiffCRISP,split,group,T regulatory cells_Ixabepilone,1,2.9846346378326416,2.527698040008545,0.04298513010144234
DiffCRISP,split,group,T regulatory cells_K02288,1,2.4398245811462402,0.7855234146118164,0.03009730577468872
DiffCRISP,split,group,T regulatory cells_Ketoconazole,1,4.798199653625488,1.6399452686309814,0.042312704026699066
DiffCRISP,split,group,T regulatory cells_LDN193189,1,1.0320793390274048,0.30052506923675537,0.011561078950762749
DiffCRISP,split,group,T regulatory cells_LY2090314,1,4.68409538269043,1.4908249378204346,0.049228135496377945
DiffCRISP,split,group,T regulatory cells_Lamivudine,1,2.1687703132629395,1.4284595251083374,0.034744080156087875
DiffCRISP,split,group,T regulatory cells_Lapatinib,1,3.8305935859680176,1.4349291324615479,0.03773126006126404
DiffCRISP,split,group,T regulatory cells_Linagliptin,1,0.6825308799743652,0.17265893518924713,0.006872264668345451
DiffCRISP,split,group,T regulatory cells_MGCD265,1,2.2570793628692627,0.5985126495361328,0.023547647520899773
DiffCRISP,split,group,T regulatory cells_MK5108,1,3.00523042678833,1.8482842445373535,0.04360537230968475
DiffCRISP,split,group,T regulatory cells_Masitinib,1,0.557479739189148,0.4634813666343689,0.017846496775746346
DiffCRISP,split,group,T regulatory cells_Methotrexate,1,1.7293442487716675,0.5405917763710022,0.018492164090275764
