drug,score,reference_positive,n_truth_hits,n_pred_hits,truth_pathways,pred_pathways
Droxinostat,3.995469666386168,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
AG-14361,3.994251698475267,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
G007-LK,3.9939375923575935,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Amisulpride,3.992045471344998,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
AZD1480,3.991063605608144,True,1,2,WP_BREAST_CANCER_PATHWAY,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
TGX-221,3.9879657865892755,True,3,2,REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Zileuton,3.9833321661588688,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Regorafenib,3.9750010775454294,True,2,2,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
GSK-LSD1,3.965389211967592,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Carmofur,3.9615084165107435,True,1,2,REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Momelotinib,3.951269067428543,True,3,2,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Veliparib,3.947159552885445,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Tubastatin,3.9463514442664653,True,3,2,REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
MC1568,3.945838916282072,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
