group,n_truth,crisp_between_seed,diffcrisp_between_seed,real_sampling,crisp_ratio,diffcrisp_ratio
K562_PCI-34051_1.0,178,0.00015603679162773512,0.00113126625151886,0.01168733942710484,0.013350924956099111,0.09679416419576807
K562_PD173074_1.0,206,3.934613954091522e-05,0.009974763149188624,0.011608482798975375,0.0033894299730872763,0.8592650152411863
K562_PD98059_1.0,212,1.292573323239152e-07,0.00403215563403339,0.001940363627789473,6.661500477164143e-05,2.0780412373669135
K562_PF-3845_1.0,209,0.00019845919366869364,0.0001617930339749465,0.009740319719572586,0.020375018416479884,0.01661064920177447
K562_PF-573228_1.0,179,7.010807700377578e-05,0.08970481745070881,0.3171200030379825,0.00022107743545707114,0.28287341256100007
K562_PFI-1_1.0,109,0.0008583290429669433,0.12676477647489973,0.46919336583879256,0.0018293716524155877,0.2701759779750469
K562_PHA-680632_1.0,96,0.0004162472216800476,0.03634358632067839,0.37997406125068667,0.00109546220157757,0.09564754552206348
K562_Panobinostat_1.0,60,0.00034480805253325444,0.009497507984956934,0.11006181805084149,0.0031328580486829254,0.0862924868328969
K562_Pelitinib_1.0,86,0.00041645253546044437,0.06530853543016646,0.18773276822434531,0.002218326291139399,0.34788031971126715
K562_Pirarubicin_1.0,146,0.000797871165883003,0.0857476297352049,0.7779243800375196,0.001025641034472427,0.11022617613690068
K562_Pracinostat_1.0,75,0.0007938290448186713,0.03418940686517292,0.22383589761124717,0.0035464778138374147,0.15274318029430767
K562_Prednisone_1.0,228,2.8051738572306324e-06,0.00031706796676694973,0.0264287036533157,0.0001061411824820511,0.011997106287397146
K562_Quercetin_1.0,160,0.0001614052814248781,0.003190188657996866,0.016816342929895554,0.009598120239207121,0.18970763567894722
K562_Quisinostat_1.0,74,0.0006434435678076827,0.005968420484310223,0.12906615626480844,0.004985377936625869,0.046243110177269536
K562_Raltitrexed_1.0,179,0.0012338631126719217,0.20971537397967444,1.39529283841451,0.0008843040533870846,0.15030205001121974
K562_Ramelteon_1.0,245,0.0,0.0037983527258297223,0.020516683564831814,0.0,0.18513483009215867
K562_Regorafenib_1.0,77,0.0007042579548498098,0.19873041841718886,0.6975494848357306,0.0010096171958547987,0.28489795023501285
K562_Resminostat_1.0,104,0.0018174789018101161,0.0772412408557203,0.3309944205813938,0.005490965372218973,0.233361156722961
K562_Resveratrol_1.0,234,0.0006669166772755691,0.07713948753145006,0.6873318764898512,0.0009702979013303721,0.11223033613018975
K562_Roscovitine_1.0,257,6.8342761611954e-05,2.1038678505015518e-07,0.009725266505636817,0.007027340749206427,2.1633009740988985e-05
K562_Roxadustat_1.0,237,1.2950026744975832e-06,0.000193069466351719,0.055083536149726976,2.350979557625953e-05,0.003505030356564644
K562_S3I-201_1.0,264,2.443891812081094e-07,0.0008980325612558065,0.018249939019895262,1.3391232756541669e-05,0.04920742805095468
K562_SB431542_1.0,274,0.00025633680288592584,1.0155897451606203e-06,0.04536612302961725,0.005650401351655651,2.2386522747328293e-05
K562_SL-327_1.0,205,1.1327439981161862e-05,0.005773700447753072,0.16724183311065038,6.773090063935985e-05,0.0345230636400229
K562_SNS-314_1.0,154,0.00035532792729403204,0.05980839249160555,0.265344328350491,0.0013391201142414564,0.22539917421036854
K562_SRT1720_1.0,55,3.9717206618661294e-05,0.0544902342889044,0.18688051601250966,0.0002125272739294162,0.29157793145892674
