pos_ratio,model,cov_drug,cell_type
0.9733333333333333,DIFFCRISP,T cells CD8+_BMS777607,T cells CD8+
0.98,DIFFCRISP,T cells CD8+_BX912,T cells CD8+
0.9266666666666667,DIFFCRISP,T cells CD8+_Belinostat,T cells CD8+
0.9666666666666667,DIFFCRISP,T cells CD8+_Bosutinib,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Buspirone,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_CC401,T cells CD8+
0.98,DIFFCRISP,T cells CD8+_CEP18770Delanzomib,T cells CD8+
0.9666666666666667,DIFFCRISP,T cells CD8+_CEP37440,T cells CD8+
0.26,DIFFCRISP,T cells CD8+_CGM097,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_CHIR99021,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Cabozantinib,T cells CD8+
0.9866666666666667,DIFFCRISP,T cells CD8+_Canertinib,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Ceritinib,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Chlorpheniramine,T cells CD8+
0.9933333333333333,DIFFCRISP,T cells CD8+_Clemastine,T cells CD8+
0.9733333333333333,DIFFCRISP,T cells CD8+_Clomipramine,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Clotrimazole,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Colchicine,T cells CD8+
0.98,DIFFCRISP,T cells CD8+_Colforsin,T cells CD8+
0.9933333333333333,DIFFCRISP,T cells CD8+_Crizotinib,T cells CD8+
0.66,DIFFCRISP,T cells CD8+_Dabrafenib,T cells CD8+
0.98,DIFFCRISP,T cells CD8+_Dactolisib,T cells CD8+
0.9933333333333333,DIFFCRISP,T cells CD8+_Dasatinib,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Decitabine,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Defactinib,T cells CD8+
0.98,DIFFCRISP,T cells CD8+_Desloratadine,T cells CD8+
0.98,DIFFCRISP,T cells CD8+_Disulfiram,T cells CD8+
0.9933333333333333,DIFFCRISP,T cells CD8+_Dovitinib,T cells CD8+
0.9933333333333333,DIFFCRISP,T cells CD8+_Doxorubicin,T cells CD8+
0.9933333333333333,DIFFCRISP,T cells CD8+_FK866,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_Flutamide,T cells CD8+
0.9866666666666667,DIFFCRISP,T cells CD8+_Foretinib,T cells CD8+
0.9933333333333333,DIFFCRISP,T cells CD8+_GLPG0634,T cells CD8+
0.9666666666666667,DIFFCRISP,T cells CD8+_GO6976,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_GSK1070916,T cells CD8+
0.9866666666666667,DIFFCRISP,T cells CD8+_GSK256066,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_GW843682X,T cells CD8+
0.8133333333333334,DIFFCRISP,T cells CD8+_GanetespibSTA9090,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_HMN214,T cells CD8+
1.0,DIFFCRISP,T cells CD8+_HYDROXYUREA,T cells CD8+
